label,text
ham,Hey are we still on for lunch tomorrow?
spam,WINNER!! You have been selected to receive a $1000 cash prize. Call now to claim!
ham,Can you send me the report before end of day?
spam,URGENT! Your account has been suspended. Click here to verify your details immediately.
ham,"Thanks for the birthday wishes, means a lot!"
spam,Congratulations! You've won a free cruise to the Bahamas. Reply YES to claim your prize.
ham,Don't forget to pick up milk on your way home.
spam,"Get rich quick! Invest $100 today and earn $10000 in a week, guaranteed."
ham,"The meeting has been moved to 3pm, see you there."
spam,FREE ENTRY into our weekly draw for a chance to win a brand new iPhone. Text WIN to 80085.
ham,Can we reschedule our call to next Monday?
spam,You have been chosen for a limited-time offer. Claim your free gift card now!
ham,"I'll be home late tonight, don't wait up."
spam,Your loan of $5000 has been approved! No credit check required. Apply now.
ham,Happy anniversary! Love you so much.
spam,Hot singles in your area are waiting to chat with you. Click here now!
ham,Please review the attached document and send feedback.
spam,Act now! Limited stock available. Buy one get one free on all items.
ham,Let's grab coffee this weekend if you're free.
spam,Your PayPal account has been limited. Verify your identity to restore access.
ham,"Great job on the presentation today, well done!"
spam,"Earn $500 a day working from home, no experience needed. Sign up now!"
ham,Can you pick up the kids from school today?
spam,You are pre-approved for a credit card with 0% interest for life. Apply today!
ham,"I just landed, will call you when I get to the hotel."
spam,Click here to unlock your mystery prize worth up to $10000!
ham,Do you want to watch a movie tonight?
spam,"Congratulations, your number has won our monthly lottery draw of 1,000,000 dollars."
ham,The doctor's appointment is confirmed for Thursday at 10am.
spam,Free trial! Cancel anytime. Enter your card details to activate your free month now.
ham,Did you finish the assignment for tomorrow's class?
spam,ALERT: Unusual activity detected on your bank account. Verify now to avoid suspension.
ham,"Happy to help, just let me know what you need."
spam,"You've been selected for a special discount, 90% off, today only! Shop now."
ham,"See you at the gym at 6, don't be late."
spam,"Claim your free vacation package now, limited spots available, act fast!"
ham,"Thanks for dinner last night, it was delicious."
spam,Your package could not be delivered. Click the link to reschedule and pay a small fee.
ham,"Let's catch up over the weekend, it's been a while."
spam,Make money fast with this one simple trick banks don't want you to know.
